ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_CenterMassIntensity_Z_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,1,100.27184466019418,9.8446601941747574,0.0,100.92885375494072,9.2490118577075098,1,6.2121709683549264e-06,1.4231805648857453e-06,1.5707963267948966,1.1503575117498481
1,2,155.04761904761904,1.9523809523809523,0.0,155.13725490196077,3.0,2,6.2831266618826813e-06,1.7320875043170496e-06,1.5707963267948966,-1.9845374395962379
1,3,249.40000000000001,3.2000000000000002,0.0,250.11111111111111,2.8148148148148149,3,2.8257447950266026e-06,5.6514895900532046e-07,1.5707963267948966,2.819842099193151
1,4,921.5,2.25,0.0,921.0,3.9591836734693877,4,1.2456344402566247e-06,4.7465942632278358e-07,1.5707963267948966,-1.2610933822524404
1,5,933.66666666666663,3.8333333333333335,0.0,932.95774647887322,4.253521126760563,5,2.5789896157425895e-06,4.1685320438759752e-07,1.5707963267948966,-0.33473683731680509
1,6,322.30769230769232,4.0,0.0,320.55102040816325,4.4285714285714288,6,4.0483119308340307e-06,1.6848761127594804e-06,1.5707963267948966,-0.49066805818807085
1,7,20.192307692307693,8.125,0.0,19.800000000000001,8.1999999999999993,7,1.5869382768869399e-05,1.6228842086370588e-06,1.5707963267948966,-0.67592765052724157
1,8,457.45454545454544,4.7878787878787881,0.0,458.13043478260869,6.6086956521739131,8,1.0946689618994361e-05,3.3832684111043906e-06,1.5707963267948966,-1.5913413808282968
1,9,847.5,3.0,0.0,846.61290322580646,4.806451612903226,9,9.8445302536410666e-07,6.5722939057659632e-07,1.5707963267948966,-1.0358412530088128
1,10,898.20754716981128,7.1886792452830193,0.0,899.07070707070704,7.8989898989898988,10,8.1689713165314503e-06,1.4468834663739166e-06,1.5707963267948966,-2.3444303270425864
1,11,983.09090909090912,8.045454545454545,0.0,983.5,7.609375,11,5.245288775768131e-06,1.2732725893275918e-06,1.5707963267948966,3.0643190062156087
1,12,110.54545454545455,8.6363636363636367,0.0,110.97297297297297,7.9729729729729728,12,4.5364659682318972e-06,9.6610493991601782e-07,1.5707963267948966,2.9996955989856295
1,13,138.15686274509804,10.843137254901961,0.0,138.32173913043479,10.678260869565218,13,6.7670444917419681e-06,1.3406686048249171e-06,1.5707963267948966,2.3165881731877547
1,14,246.63157894736841,7.1578947368421053,0.0,246.84615384615384,7.3076923076923075,14,6.2601115459050889e-06,1.1612483692709779e-06,1.5707963267948966,-1.5707963267948966
1,15,628.39999999999998,6.0,0.0,628.79999999999995,5.5,15,7.6295109465718269e-06,2.4604433497890923e-06,1.5707963267948966,1.7681918866447774
1,16,147.59259259259258,10.62962962962963,0.0,148.61052631578949,11.873684210526315,16,4.336774643314512e-06,7.9144985694982523e-07,1.5707963267948966,-2.7558626870308056
1,17,338.875,9.25,0.0,338.5,8.2972972972972965,17,3.299247976895925e-06,6.8137280647328652e-07,1.5707963267948966,1.6704649792860586
1,18,449.92000000000002,13.52,0.0,451.26612903225805,12.637096774193548,18,3.0764157042628336e-06,6.3728273757393182e-07,1.5707963267948966,2.1639283283587822
1,19,150.0,8.0,0.0,152.71428571428572,8.6666666666666661,19,2.1798602704490932e-06,1.4568663091557324e-06,1.5707963267948966,3.0940095503128098
1,20,316.69999999999999,11.859999999999999,0.0,318.13194444444446,11.229166666666666,20,5.2982714906748797e-06,1.3490908783333484e-06,1.5707963267948966,2.4945454603694701
1,21,3.3740310077519382,11.075581395348838,0.0,4.7454545454545451,10.727272727272727,21,0.00014315736903385682,4.6235982944087412e-05,1.5707963267948966,-2.7514527345967301
1,22,240.41509433962264,11.245283018867925,0.0,239.90909090909091,14.056818181818182,22,9.1900927310978826e-06,2.7909104373061239e-06,1.5707963267948966,-1.6472651571587149
1,23,76.166666666666671,9.5,0.0,76.1875,9.6875,23,1.144426641985774e-05,2.697439463728967e-06,1.5707963267948966,-1.2490457723982544
1,24,194.28571428571428,13.0,0.0,194.04950495049505,11.900990099009901,24,2.1151119455842688e-06,3.0215884936918128e-07,1.5707963267948966,1.2924966677897851
1,25,210.25641025641025,12.589743589743589,0.0,208.01754385964912,14.508771929824562,25,5.2201917002859867e-06,1.6163265223128539e-06,1.5707963267948966,-1.1981914533681686
1,26,278.73333333333335,16.833333333333332,0.0,279.22151898734177,16.094936708860761,26,5.7945652758773371e-06,1.2202245811385074e-06,1.5707963267948966,2.8206401836206734
1,27,344.35714285714283,13.785714285714286,0.0,345.13131313131311,14.242424242424242,27,4.3156829596769934e-06,8.9524181272434051e-07,1.5707963267948966,-2.5281538410977933
1,28,415.60000000000002,9.5999999999999996,0.0,414.19999999999999,9.6666666666666661,28,5.0863406310478849e-06,3.7514994858304901e-06,1.5707963267948966,-0.24497866312686414
1,29,33.0,9.5,0.0,36.294117647058826,9.5294117647058822,29,1.7951790462521945e-06,1.3877105315865214e-06,1.5707963267948966,3.1415926535897931
1,30,41.714285714285715,12.571428571428571,0.0,43.048780487804876,13.341463414634147,30,2.605198859805014e-06,1.3052003876884792e-06,1.5707963267948966,-2.7557099841917196
1,31,56.642857142857146,12.357142857142858,0.0,57.166666666666664,11.527777777777779,31,5.934064069555865e-06,1.9662798508079586e-06,1.5707963267948966,2.5482425074330735
1,32,640.63636363636363,10.0,0.0,640.60000000000002,10.6,32,7.1208768834670387e-06,1.3981013113120812e-06,1.5707963267948966,-2.1112158270654806
1,33,860.5333333333333,13.733333333333333,0.0,861.27777777777783,12.592592592592593,33,4.2386171925399039e-06,1.3083642750762947e-06,1.5707963267948966,1.9325255683148288
1,34,967.0,12.25,0.0,966.82758620689651,11.758620689655173,34,4.2093853498327325e-06,4.9401380850502482e-07,1.5707963267948966,1.2924966677897249
1,35,22.426573426573427,20.603146853146853,0.0,22.688679245283019,17.462264150943398,35,8.2341137008284617e-05,3.0372550649799707e-05,1.5707963267948966,2.114468649501215
1,36,32.527272727272724,14.072727272727272,0.0,34.57692307692308,14.596153846153847,36,8.0696750396432781e-06,2.9517524499318968e-06,1.5707963267948966,2.9512641138978859
1,37,182.0,12.5,0.0,181.33333333333334,11.75,37,5.0863406310478849e-06,2.6840342321913478e-06,1.5707963267948966,0.83798122500839267
1,38,266.15384615384613,16.307692307692307,0.0,266.17796610169489,16.627118644067796,38,5.0432360494288351e-06,2.5260903037672178e-07,1.5707963267948966,-2.6344941491974576
1,39,334.35000000000002,20.300000000000001,0.0,334.88492063492066,20.829365079365079,39,6.0551674179141484e-06,9.5148032414574452e-07,1.5707963267948966,-2.9402330001706098
1,40,383.61764705882354,14.970588235294118,0.0,384.16666666666669,14.802083333333334,40,5.4042369204883771e-06,3.0893966187955541e-07,1.5707963267948966,-3.0648207623200148
1,41,984.85185185185185,17.296296296296298,0.0,987.31794871794875,18.507692307692309,41,4.2255752934859351e-06,7.0705956855966183e-07,1.5707963267948966,-3.0186207840254959
1,42,62.15625,13.78125,0.0,62.260869565217391,13.934782608695652,42,1.0614971751752107e-05,6.38072057652325e-07,1.5707963267948966,-0.95054684081207486
1,43,176.33333333333334,13.0,0.0,178.0625,12.6875,43,5.7221332099288702e-06,4.6044849998848174e-06,1.5707963267948966,3.1415926535897931
1,44,926.90625,14.53125,0.0,926.29999999999995,14.800000000000001,44,5.4254300064510768e-06,5.7504523577989889e-07,1.5707963267948966,-0.85670562818273832
1,45,95.826086956521735,18.086956521739129,0.0,93.682352941176475,18.305882352941175,45,4.1289118063800478e-06,1.5180167157475018e-06,1.5707963267948966,0.73126391378556799
1,46,288.77777777777777,14.222222222222221,0.0,288.89999999999998,14.975,46,3.4332799259573223e-06,1.1789831287592939e-06,1.5707963267948966,-1.3567356432310751
1,47,647.57142857142856,15.142857142857142,0.0,649.20000000000005,14.828571428571429,47,1.2207217514514923e-05,4.2506453297382138e-06,1.5707963267948966,3.0419240010986313
1,48,459.0,16.363636363636363,0.0,458.69565217391306,17.478260869565219,48,3.6488965396647868e-06,8.9949636009362801e-07,1.5707963267948966,-1.5707963267948966
1,49,526.74347826086955,17.156521739130437,0.0,527.78378378378375,17.954954954954953,49,3.1617793111919285e-05,4.4761040918078728e-06,1.5707963267948966,3.0176635533954754
1,50,961.66666666666663,19.166666666666668,0.0,963.0,19.527999999999999,50,2.9297322034835814e-06,6.4639941214118097e-07,1.5707963267948966,-2.9813806839877812
1,51,230.25,16.416666666666668,0.0,228.45652173913044,15.913043478260869,51,7.9612288138140795e-06,2.5351298401789648e-06,1.5707963267948966,0.59650098251982753
1,52,350.61538461538464,24.153846153846153,0.0,350.68707482993199,21.965986394557824,52,4.0483119308340307e-06,1.1698859795657188e-06,1.5707963267948966,1.2778839292693636
1,53,358.07692307692309,22.076923076923077,0.0,359.46753246753246,21.649350649350648,53,2.3780293859444656e-06,4.6385653830231835e-07,1.5707963267948966,1.5081294855520837
1,54,627.01694915254234,16.406779661016948,0.0,627.0322580645161,17.080645161290324,54,2.9041364248241146e-05,6.0826615619043407e-06,1.5707963267948966,-1.5552936928698802
1,55,10.755204594400574,22.40272792534099,0.0,8.7346938775510203,22.602040816326532,55,0.0001084480484548424,2.024523747008054e-05,1.5707963267948966,1.1929598225429445
1,56,144.85714285714286,17.0,0.0,144.14285714285714,16.821428571428573,56,3.8147554732859135e-06,6.1556019403559487e-07,1.5707963267948966,0.95054684081207508
1,57,220.77777777777777,19.222222222222221,0.0,219.13333333333333,19.483333333333334,57,4.5777065679430958e-06,1.6505833030255459e-06,1.5707963267948966,-0.12135200057076374
1,58,251.359375,19.765625,0.0,250.96875,20.5078125,58,7.6295109465718269e-06,2.2737273949110411e-06,1.5707963267948966,-1.2662854435927844
1,59,306.75,21.583333333333332,0.0,307.85454545454547,21.009090909090908,59,3.3292411403222515e-06,4.4186413044842646e-07,1.5707963267948966,2.4805494847391061
1,60,322.17777777777781,22.199999999999999,0.0,320.17021276595744,21.49645390070922,60,4.8699006041947835e-06,1.6818706633950572e-06,1.5707963267948966,0.062854160425571376
1,61,975.5,20.199999999999999,0.0,975.00900900900899,20.882882882882882,61,4.1240599711199066e-06,5.7998093597788465e-07,1.5707963267948966,-1.0121970114513343
1,62,73.0,17.857142857142858,0.0,71.181818181818187,18.931818181818183,62,2.4275716648183088e-06,1.2555789524537966e-06,1.5707963267948966,-0.83082144281902537
1,63,603.09649122807014,20.653508771929825,0.0,602.79136690647476,21.726618705035971,63,2.5029186990192468e-05,5.9133435457882993e-06,1.5707963267948966,-1.5185872833687335
1,64,234.66666666666666,18.333333333333332,0.0,235.26666666666668,20.666666666666668,64,1.5259021893143653e-06,9.6940883965945175e-07,1.5707963267948966,-1.9693187724613168
1,65,42.578947368421055,23.526315789473685,0.0,41.934210526315788,21.69736842105263,65,1.9073777366429567e-05,6.886231707271077e-06,1.5707963267948966,0.76845063359104349
1,66,231.14705882352942,22.970588235294116,0.0,231.51960784313727,23.813725490196077,66,5.0863406310478849e-06,3.4796967471907496e-07,1.5707963267948966,-2.1587989303424644
1,67,297.15555555555557,23.511111111111113,0.0,297.62295081967216,23.918032786885245,67,5.6283277474710197e-06,6.5400961572774334e-07,1.5707963267948966,-1.3779443127136777
1,68,54.916666666666664,21.5,0.0,54.93181818181818,21.818181818181817,68,4.1615514254028145e-06,1.5549680493465516e-06,1.5707963267948966,-2.6940726784326232
1,69,121.45454545454545,20.09090909090909,0.0,120.17241379310344,20.896551724137932,69,5.7879048560200068e-06,3.1394509144528287e-06,1.5707963267948966,-0.55859931534356244
1,70,395.76315789473682,24.684210526315791,0.0,395.7684210526316,24.03157894736842,70,6.1036087572574614e-06,6.9509302699691387e-07,1.5707963267948966,-2.8674252024701343
1,71,485.16666666666669,23.75,0.0,484.10476190476192,23.990476190476191,71,3.4877764327185494e-06,7.3151668100777032e-07,1.5707963267948966,-1.4758446204521403
1,72,101.56896551724138,27.275862068965516,0.0,101.69767441860465,26.635658914728683,72,6.8606455023436583e-06,5.9588189908973538e-07,1.5707963267948966,0.45145309155255431
1,73,166.66666666666666,27.066666666666666,0.0,165.80000000000001,26.610526315789475,73,4.8186384925716805e-06,6.7023096053045251e-07,1.5707963267948966,-0.95054684081207486
1,74,290.07499999999999,29.600000000000001,0.0,289.75,28.607142857142858,74,5.1771681423165972e-06,1.0040546904039712e-06,1.5707963267948966,2.1537575614571063
1,75,377.73076923076923,21.807692307692307,0.0,376.36764705882354,22.514705882352942,75,5.8343319003196324e-06,2.1000827788138619e-06,1.5707963267948966,-1.1310063202146623
1,76,463.57142857142856,25.142857142857142,0.0,464.22058823529414,23.882352941176471,76,1.5707816654706703e-06,5.9655172083815405e-07,1.5707963267948966,2.4360244759045822
1,77,670.70000000000005,24.5,0.0,670.92156862745094,23.098039215686274,77,8.9758952312609735e-06,3.0702285482844922e-06,1.5707963267948966,1.7681918866447774
1,78,28.664210526315788,25.295789473684209,0.0,29.080459770114942,25.448275862068964,78,0.00016346446441850443,1.295395236763283e-05,1.5707963267948966,2.5367441436228946
1,79,155.57777777777778,25.199999999999999,0.0,155.15384615384616,24.215384615384615,79,1.0563938233714838e-05,3.2552092814052077e-06,1.5707963267948966,1.5250765753986082
1,80,367.55555555555554,27.888888888888889,0.0,365.96031746031747,27.738095238095237,80,4.3597205408981865e-06,9.2444427204416173e-07,1.5707963267948966,-0.054001500375968292
1,81,942.5454545454545,28.0,0.0,941.15887850467288,27.588785046728972,81,1.5686844936876653e-06,5.9836465692877858e-07,1.5707963267948966,0.19395914725989311
1,82,37.295555555555552,28.460000000000001,0.0,37.890625,27.5625,82,0.00010728999768616632,2.9827674844343754e-05,1.5707963267948966,2.0203430923944499
1,83,58.451219512195124,27.329268292682926,0.0,59.133333333333333,24.844444444444445,83,4.306435067620542e-05,2.6331850761245462e-05,1.5707963267948966,2.000654176152131
1,84,62.626666666666665,27.426666666666666,0.0,63.399999999999999,25.719999999999999,84,4.5777065679430962e-05,2.2513693254696693e-05,1.5707963267948966,1.9963805234823595
1,85,71.401785714285708,26.035714285714285,0.0,73.422413793103445,26.163793103448278,85,1.4732848724414562e-05,4.0356144290954679e-06,1.5707963267948966,2.8916140321289707
1,86,218.35384615384615,26.53846153846154,0.0,218.8740157480315,28.330708661417322,86,7.8097356146010823e-06,2.5420735261429238e-06,1.5707963267948966,-1.6499011312532581
1,87,253.53333333333333,28.333333333333332,0.0,253.69026548672565,27.601769911504423,87,6.0766016388625173e-06,1.8040114419331833e-06,1.5707963267948966,1.346085158380254
1,88,277.5,28.699999999999999,0.0,276.06428571428569,27.007142857142856,88,5.4496506761227333e-06,1.1207251811855628e-06,1.5707963267948966,0.67474094222355274
1,89,228.55172413793105,30.172413793103448,0.0,228.25555555555556,29.933333333333334,89,4.7472512556446922e-06,6.5344171268619862e-07,1.5707963267948966,1.2673872395541232
1,90,263.68656716417911,34.029850746268657,0.0,262.10256410256409,33.070512820512818,90,6.3579257888098555e-06,1.379668817180944e-06,1.5707963267948966,0.77271087426271434
1,91,494.23809523809524,27.428571428571427,0.0,493.69879518072287,27.698795180722893,91,3.8607163826026111e-06,1.1867749218609944e-06,1.5707963267948966,-0.26199272800824175
1,92,589.00900900900899,27.792792792792792,0.0,589.22727272727275,27.490909090909092,92,3.0795480547980829e-05,1.4716587189494799e-06,1.5707963267948966,-2.1326122143188089
1,93,47.828402366863905,32.418145956607496,0.0,48.70542635658915,30.193798449612402,93,5.725090384714363e-05,2.005215046900891e-05,1.5707963267948966,2.026917899883061
1,94,178.35185185185185,27.833333333333332,0.0,178.30769230769232,27.653846153846153,94,9.7814242904767015e-06,2.1044305475336791e-06,1.5707963267948966,2.3923903738193784
1,95,188.10256410256412,28.282051282051281,0.0,187.0609756097561,29.182926829268293,95,6.8851684151989655e-06,1.8085823037104044e-06,1.5707963267948966,-1.1989282144423632
1,96,415.57142857142856,30.142857142857142,0.0,416.80769230769232,28.384615384615383,96,2.0540991010001071e-06,9.2043547832498808e-07,1.5707963267948966,1.7649024248252141
1,97,158.71028037383178,34.925233644859816,0.0,158.84,33.079999999999998,97,1.3061722740530967e-05,4.5843832819928221e-06,1.5707963267948966,2.0595528130374237
1,98,315.5,31.928571428571427,0.0,315.0888888888889,31.25925925925926,98,6.3296683408595899e-06,1.2444852818375648e-06,1.5707963267948966,-0.71680365994318185
1,99,379.0,31.363636363636363,0.0,379.15625,30.53125,99,3.4968591838454208e-06,3.4587335379259301e-08,1.5707963267948966,2.1276978509007698
1,100,425.56666666666666,32.299999999999997,0.0,424.75961538461536,31.83653846153846,100,4.4016409307145159e-06,5.3637207653618233e-07,1.5707963267948966,2.352584397572365
1,101,20.940191387559807,29.76555023923445,0.0,20.433962264150942,30.811320754716981,101,0.00011228336864766086,3.9231240503173303e-05,1.5707963267948966,-0.95205261180052414
1,102,91.717948717948715,31.384615384615383,0.0,91.410447761194035,32.365671641791046,102,8.0850041374119364e-06,1.4556237386970939e-06,1.5707963267948966,-1.4746364318342722
1,103,304.25675675675677,29.716216216216218,0.0,304.11111111111109,28.888888888888889,103,4.1821022966393718e-05,8.77689329172494e-06,1.5707963267948966,-0.6570749357116541
1,104,64.361940298507463,31.96268656716418,0.0,65.196721311475414,31.606557377049182,104,6.6539341370101831e-05,1.9510366257908877e-05,1.5707963267948966,-3.1220400246647841
1,105,245.51724137931035,33.482758620689658,0.0,245.93233082706766,34.263157894736842,105,6.6543102992656534e-06,1.323863530523511e-06,1.5707963267948966,3.0411565415409445
1,106,11.421296296296296,35.801697530864196,0.0,11.597765363128492,36.055865921787706,106,0.00011047872834365462,1.283923104758911e-05,1.5707963267948966,-0.16343136020193882
1,107,202.29411764705881,30.264705882352942,0.0,202.92857142857142,31.023809523809526,107,1.2352541532544863e-05,4.6281764191687223e-06,1.5707963267948966,-1.957133541616211
1,108,323.70833333333331,37.666666666666664,0.0,324.33333333333331,36.045045045045043,108,3.299247976895925e-06,8.4204196054473134e-07,1.5707963267948966,2.5484859338825343
1,109,406.45945945945948,34.054054054054056,0.0,406.50370370370371,33.548148148148151,109,4.1821022966393718e-06,4.6584401726563536e-07,1.5707963267948966,-1.6136272594636241
1,110,438.79310344827587,37.896551724137929,0.0,436.44736842105266,35.73026315789474,110,2.9112607559287234e-06,1.2021302740597218e-06,1.5707963267948966,0.9769594837265746
1,111,478.80000000000001,33.114285714285714,0.0,478.70434782608697,34.295652173913041,111,4.6440501413915465e-06,8.7474486863649951e-07,1.5707963267948966,-1.7141363818404984
