ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,1,102.21459227467811,10.918454935622318,100.92885375494072,9.2490118577075098,1,1.4052775103171824e-05,5.2364923085120325e-06,1.5707963267948966,0.88375604447533329
1,2,155.08641975308643,2.6543209876543208,155.13725490196077,3.0,2,4.8469834248809255e-05,6.9848487563223476e-06,1.5707963267948966,-2.3618993997760325
1,3,nan,nan,250.11111111111111,2.8148148148148149,3,0.0,0.0,0.0,0.0
1,4,919.0,4.0,921.0,3.9591836734693877,4,3.1140861006415618e-07,1.4529901443502279e-07,1.5707963267948966,3.0481158724312039
1,5,929.0,2.0,932.95774647887322,4.253521126760563,5,4.2983160262376488e-07,3.79118784664337e-07,1.5707963267948966,-2.6476512846702098
1,6,317.5,5.0,320.55102040816325,4.4285714285714288,6,6.2281722012831235e-07,1.678715667588688e-07,1.5707963267948966,-2.8966139904629293
1,7,18.600000000000001,6.5499999999999998,19.800000000000001,8.1999999999999993,7,6.1036087572574614e-06,1.8751591242606215e-06,1.5707963267948966,-2.0246403283164072
1,8,456.0,6.2000000000000002,458.13043478260869,6.6086956521739131,8,8.2929466810563335e-07,1.9692953691055157e-07,1.5707963267948966,-2.6516353273360651
1,9,nan,nan,846.61290322580646,4.806451612903226,9,0.0,0.0,0.0,0.0
1,10,895.92857142857144,6.3571428571428568,899.07070707070704,7.8989898989898988,10,2.1578414798384967e-06,1.1738307934908284e-06,1.5707963267948966,-2.6504290553035328
1,11,987.60000000000002,9.1999999999999993,983.5,7.609375,11,4.7684443416073918e-07,1.5593562056900182e-07,1.5707963267948966,-0.92943196688643559
1,12,111.06666666666666,8.4000000000000004,110.97297297297297,7.9729729729729728,12,2.4744359826719438e-05,2.4304575399345036e-06,1.5707963267948966,-2.9147938055359091
1,13,137.23809523809524,10.095238095238095,138.32173913043479,10.678260869565218,13,2.786430084834928e-06,7.2677979588753991e-07,1.5707963267948966,2.9644565384130908
1,14,244.0,8.0,246.84615384615384,7.3076923076923075,14,3.9125697161906805e-07,1.709982030028751e-07,1.5707963267948966,2.8966139904629289
1,15,nan,nan,628.79999999999995,5.5,15,0.0,0.0,0.0,0.0
1,16,148.68644067796609,10.974576271186441,148.61052631578949,11.873684210526315,16,1.8953311404115276e-05,5.1559031472819624e-07,1.5707963267948966,-2.2682989359641468
1,17,340.22222222222223,8.8055555555555554,338.5,8.2972972972972965,17,1.4846615896031662e-05,3.5728275115987963e-06,1.5707963267948966,0.58273949424997207
1,18,452.0,16.0,451.26612903225805,12.637096774193548,18,1.2305662817051333e-07,6.6473566324005657e-08,1.5707963267948966,1.2503650328466123
1,19,150.92727272727274,7.4000000000000004,152.71428571428572,8.6666666666666661,19,3.9964104958233381e-05,1.8549986607026048e-05,1.5707963267948966,-2.9065804378691373
1,20,320.0344827586207,10.103448275862069,318.13194444444446,11.229166666666666,20,2.4372048857104446e-06,8.8293275143937421e-08,1.5707963267948966,2.6476512846702112
1,21,2.7999999999999998,11.0,4.7454545454545451,10.727272727272727,21,1.3871838084676049e-06,5.9789925905169684e-07,1.5707963267948966,-2.8174001016053238
1,22,238.05000000000001,16.550000000000001,239.90909090909091,14.056818181818182,22,1.0403878563507037e-05,6.3682608113227847e-06,1.5707963267948966,2.2284980743025478
1,23,75.5,10.0,76.1875,9.6875,23,1.9073777366429567e-06,4.2650262779033427e-07,1.5707963267948966,3.1415926535897931
1,24,195.64864864864865,11.162162162162161,194.04950495049505,11.900990099009901,24,5.589938713329853e-06,1.4199828272951245e-06,1.5707963267948966,-0.47018346364673724
1,25,210.79245283018867,11.622641509433961,208.01754385964912,14.508771929824562,25,7.0941066696194182e-06,3.0865400178484803e-06,1.5707963267948966,-1.1595527203622269
1,26,278.58024691358025,15.160493827160494,279.22151898734177,16.094936708860761,26,7.7260870345031162e-06,2.0235732377831144e-06,1.5707963267948966,-2.610743071704781
1,27,343.5263157894737,12.56842105263158,345.13131313131311,14.242424242424242,27,1.464249575604694e-05,6.2091439084066698e-06,1.5707963267948966,-2.3421703463641319
1,28,nan,nan,414.19999999999999,9.6666666666666661,28,0.0,0.0,0.0,0.0
1,29,38.125,9.625,36.294117647058826,9.5294117647058822,29,7.1807161850087781e-06,2.5847902386411135e-06,1.5707963267948966,0.076771891269778028
1,30,41.428571428571431,12.857142857142858,43.048780487804876,13.341463414634147,30,2.2330275941185833e-06,1.6575227812621082e-06,1.5707963267948966,-2.7187387274568526
1,31,55.5,12.25,57.166666666666664,11.527777777777779,31,1.6954468770159615e-06,1.0207941961452864e-06,1.5707963267948966,2.8785979219088733
1,32,nan,nan,640.60000000000002,10.6,32,0.0,0.0,0.0,0.0
1,33,860.5,11.875,861.27777777777783,12.592592592592593,33,2.2605958360212819e-06,4.2353902280884647e-07,1.5707963267948966,-2.2455372690184494
1,34,966.25,11.875,966.82758620689651,11.758620689655173,34,8.418770699665465e-06,1.7656128782876039e-06,1.5707963267948966,-3.1031500635686031
1,35,23.636363636363637,15.545454545454545,22.688679245283019,17.462264150943398,35,1.5834834040054734e-06,4.7647981877274839e-07,1.5707963267948966,-1.7178746821832991
1,36,34.216000000000001,14.592000000000001,34.57692307692308,14.596153846153847,36,1.8340170544643814e-05,3.7351054963185361e-06,1.5707963267948966,2.436827366137519
1,37,nan,nan,181.33333333333334,11.75,37,0.0,0.0,0.0,0.0
1,38,266.22000000000003,17.059999999999999,266.17796610169489,16.627118644067796,38,6.4656872428574801e-06,5.1205630497905821e-07,1.5707963267948966,2.0344439357957032
1,39,334.86486486486484,19.162162162162161,334.88492063492066,20.829365079365079,39,2.2404119446282349e-06,3.8510482511211413e-07,1.5707963267948966,-2.2463172040025352
1,40,383.82666666666665,16.493333333333332,384.16666666666669,14.802083333333334,40,1.192111085401848e-05,2.6716110415599914e-06,1.5707963267948966,1.6863506684685841
1,41,985.9545454545455,15.409090909090908,987.31794871794875,18.507692307692309,41,1.7215306751238995e-06,3.748246888051833e-07,1.5707963267948966,-1.8259787174157149
1,42,58.0,15.0,62.260869565217391,13.934782608695652,42,3.3171786724225333e-07,3.0582876243183343e-07,1.5707963267948966,2.8966139904629289
1,43,nan,nan,178.0625,12.6875,43,0.0,0.0,0.0,0.0
1,44,926.66666666666663,14.166666666666666,926.29999999999995,14.800000000000001,44,1.0172681262095769e-06,1.477204332636806e-07,1.5707963267948966,-1.3734007669450159
1,45,95.672413793103445,18.370689655172413,93.682352941176475,18.305882352941175,45,2.0824076936525458e-05,7.877668050024336e-06,1.5707963267948966,0.82901374916957182
1,46,289.45070422535213,15.450704225352112,288.89999999999998,14.975,46,2.7084763860329986e-05,6.7712604418169995e-06,1.5707963267948966,-0.051805456791001174
1,47,649.0,15.0,649.20000000000005,14.828571428571429,47,8.7194410817963735e-07,0.0,1.5707963267948966,0.0
1,48,459.0,15.5,458.69565217391306,17.478260869565219,48,6.6343573448450666e-07,2.8783883522996089e-07,1.5707963267948966,-1.5707963267948966
1,49,527.44444444444446,16.111111111111111,527.78378378378375,17.954954954954953,49,1.2372179913359719e-06,1.4499523399447114e-07,1.5707963267948966,-2.129395642138459
1,50,962.44444444444446,19.0,963.0,19.527999999999999,50,1.098649576306343e-06,1.3642680694731693e-07,1.5707963267948966,-2.6520930231325508
1,51,229.76712328767124,16.602739726027398,228.45652173913044,15.913043478260869,51,2.2225097105230976e-05,7.5782613619550676e-06,1.5707963267948966,0.65699764102581892
1,52,349.83505154639175,21.443298969072163,350.68707482993199,21.965986394557824,52,1.0068878392074385e-05,3.353775097734379e-07,1.5707963267948966,-1.7415315382700916
1,53,358.89999999999998,23.449999999999999,359.46753246753246,21.649350649350648,53,3.9633823099074426e-06,1.8224428192184616e-06,1.5707963267948966,1.3415890329607147
1,54,629.60000000000002,17.300000000000001,627.0322580645161,17.080645161290324,54,2.4611325634102669e-06,1.2294368034664939e-06,1.5707963267948966,-0.076771891269778042
1,55,8.0,18.923076923076923,8.7346938775510203,22.602040816326532,55,1.0120779827085077e-06,2.3506224814221325e-07,1.5707963267948966,-2.4739270649964382
