ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_CenterMassIntensity_Z_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,1,102.23423423423424,10.756756756756756,0.0,100.92885375494072,9.2490118577075098,1,6.6946696843436584e-06,2.4399264284625535e-06,1.5707963267948966,0.86000171586169649
1,2,155.12,2.2400000000000002,0.0,155.13725490196077,3.0,2,7.4799126927174776e-06,1.5931205781333754e-06,1.5707963267948966,-2.0344439357957027
1,3,250.0,2.0,0.0,250.11111111111111,2.8148148148148149,3,1.1302979180106409e-06,3.5743158554598804e-07,1.5707963267948966,-1.5707963267948966
1,4,nan,nan,nan,921.0,3.9591836734693877,4,0.0,0.0,0.0,0.0
1,5,932.0,9.0,0.0,932.95774647887322,4.253521126760563,5,4.2983160262376488e-07,4.2640932203600196e-07,1.5707963267948966,1.752445156794904
1,6,321.09090909090907,4.9090909090909092,0.0,320.55102040816325,4.4285714285714288,6,3.4254947107057184e-06,7.6007084537205186e-07,1.5707963267948966,-0.35563588430075982
1,7,19.608695652173914,5.8260869565217392,0.0,19.800000000000001,8.1999999999999993,7,3.5095750354230404e-06,1.3112783907173528e-06,1.5707963267948966,-1.5676615408250847
1,8,458.0,6.0,0.0,458.13043478260869,6.6086956521739131,8,3.3171786724225333e-07,5.1805627212887912e-08,1.5707963267948966,-1.1071487177940906
1,9,nan,nan,nan,846.61290322580646,4.806451612903226,9,0.0,0.0,0.0,0.0
1,10,895.27777777777783,5.9444444444444446,0.0,899.07070707070704,7.8989898989898988,10,2.7743676169352098e-06,1.8423589856120115e-06,1.5707963267948966,-2.6370322148135479
1,11,982.28571428571433,7.8571428571428568,0.0,983.5,7.609375,11,1.6689555195625871e-06,6.4857855084919006e-07,1.5707963267948966,-3.1017679626667123
1,12,111.28571428571429,8.8928571428571423,0.0,110.97297297297297,7.9729729729729728,12,1.1547367919135738e-05,1.1412948767821401e-06,1.5707963267948966,2.0701430484750269
1,13,136.91666666666666,10.666666666666666,0.0,138.32173913043479,10.678260869565218,13,1.592245762762816e-06,5.1500077176111976e-07,1.5707963267948966,2.7547169358587635
1,14,246.11111111111111,7.0,0.0,246.84615384615384,7.3076923076923075,14,3.1300557729525444e-06,4.4667956075288594e-07,1.5707963267948966,-0.3805063771123649
1,15,nan,nan,nan,628.79999999999995,5.5,15,0.0,0.0,0.0,0.0
1,16,148.9047619047619,10.738095238095237,0.0,148.61052631578949,11.873684210526315,16,6.7460938896003522e-06,3.7192242331670955e-07,1.5707963267948966,-1.3367065254892698
1,17,340.6875,9.0625,0.0,338.5,8.2972972972972965,17,3.299247976895925e-06,1.0816032993178743e-06,1.5707963267948966,0.56192156225681533
1,18,447.66666666666669,12.0,0.0,451.26612903225805,12.637096774193548,18,3.6916988451154e-07,1.5769972570637931e-07,1.5707963267948966,-3.0544353790355108
1,19,150.81818181818181,7.8181818181818183,0.0,152.71428571428572,8.6666666666666661,19,7.9928209916466762e-06,3.812224443536517e-06,1.5707963267948966,-3.1193740882630743
1,20,322.52272727272725,9.204545454545455,0.0,318.13194444444446,11.229166666666666,20,3.8147554732859135e-06,1.3766936676461751e-06,1.5707963267948966,-0.32724500459985856
1,21,4.333333333333333,11.444444444444445,0.0,4.7454545454545451,10.727272727272727,21,2.496930855241689e-06,3.1562871934917561e-07,1.5707963267948966,-2.7155704872654955
