ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_CenterMassIntensity_Z_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,1,100.63793103448276,8.2068965517241388,0.0,100.92885375494072,9.2490118577075098,1,3.4981156909183082e-06,5.2326045278965572e-07,1.5707963267948966,0.63502673539031351
1,2,155.18181818181819,3.1818181818181817,0.0,155.13725490196077,3.0,2,3.29116158479569e-06,2.7267756537261804e-07,1.5707963267948966,2.9934326328579615
1,3,nan,nan,nan,250.11111111111111,2.8148148148148149,3,0.0,0.0,0.0,0.0
1,4,921.66666666666663,6.666666666666667,0.0,921.0,3.9591836734693877,4,9.3422583019246863e-07,6.3601640843769543e-07,1.5707963267948966,1.341333659788724
1,5,932.0,5.5,0.0,932.95774647887322,4.253521126760563,5,4.2983160262376488e-07,1.4245106041113086e-07,1.5707963267948966,2.1421338066285118
1,6,318.25,4.75,0.0,320.55102040816325,4.4285714285714288,6,1.2456344402566247e-06,2.3740624644721269e-07,1.5707963267948966,-2.6011731533192091
1,7,19.857142857142858,8.6190476190476186,0.0,19.800000000000001,8.1999999999999993,7,3.2043945975601674e-06,1.11289470132102e-07,1.5707963267948966,0.073939037657941506
1,8,459.42857142857144,6.7142857142857144,0.0,458.13043478260869,6.6086956521739131,8,2.3220250706957732e-06,6.3236826978208369e-07,1.5707963267948966,-0.14707835538840247
1,9,nan,nan,nan,846.61290322580646,4.806451612903226,9,0.0,0.0,0.0,0.0
1,10,897.97916666666663,8.2291666666666661,0.0,899.07070707070704,7.8989898989898988,10,7.3983136451605596e-06,1.2088491634724546e-06,1.5707963267948966,2.9207638838604448
1,11,983.75,8.0,0.0,983.5,7.609375,11,9.5368886832147837e-07,1.1704586304999266e-07,1.5707963267948966,3.0560873599115865
1,12,110.5,6.833333333333333,0.0,110.97297297297297,7.9729729729729728,12,2.4744359826719439e-06,1.0622273900545987e-06,1.5707963267948966,-2.1112158270654811
1,13,136.0625,10.875,0.0,138.32173913043479,10.678260869565218,13,2.1229943503504212e-06,9.3317059441642042e-07,1.5707963267948966,2.7938998167040188
1,14,246.72727272727272,6.0909090909090908,0.0,246.84615384615384,7.3076923076923075,14,4.3038266878097484e-06,1.4468129085229858e-06,1.5707963267948966,-1.0943289073211899
1,15,629.0,6.0,0.0,628.79999999999995,5.5,15,1.5259021893143653e-06,6.8240420446453481e-07,1.5707963267948966,0.78539816339744828
1,16,148.55882352941177,12.588235294117647,0.0,148.61052631578949,11.873684210526315,16,5.4611236249145705e-06,1.1241207909821095e-06,1.5707963267948966,1.7424569186739924
1,17,338.63636363636363,9.454545454545455,0.0,338.5,8.2972972972972965,17,2.2682329841159486e-06,5.5908593447837391e-07,1.5707963267948966,1.8157749899217608
1,18,449.64705882352939,13.470588235294118,0.0,451.26612903225805,12.637096774193548,18,2.0919626788987269e-06,4.711379214378101e-07,1.5707963267948966,2.3195594933011576
1,19,152.75,7.75,0.0,152.71428571428572,8.6666666666666661,19,2.9064803605987913e-06,1.0888825896210245e-07,1.5707963267948966,-2.3561944901923924
1,20,315.15789473684208,12.368421052631579,0.0,318.13194444444446,11.229166666666666,20,3.9207209030994109e-06,1.8436371069563044e-06,1.5707963267948966,2.6445757231900702
1,21,5.3322259136212624,9.7009966777408643,0.0,4.7454545454545451,10.727272727272727,21,8.3508465269749812e-05,3.2846512024826472e-05,1.5707963267948966,-1.3761850848267654
1,22,239.73809523809524,11.19047619047619,0.0,239.90909090909091,14.056818181818182,22,7.2827149944549259e-06,2.4369637459239882e-06,1.5707963267948966,-1.9493419221063946
1,23,75.142857142857139,9.5714285714285712,0.0,76.1875,9.6875,23,6.6758220782503486e-06,2.8610666049644351e-06,1.5707963267948966,-2.677945044588987
1,24,195.67741935483872,11.161290322580646,0.0,194.04950495049505,11.900990099009901,24,4.6834621652223097e-06,1.2064955868917475e-06,1.5707963267948966,-0.46364760900080609
