ImageNumber,ObjectNumber,Location_CenterMassIntensity_X_channels_split_Filtered,Location_CenterMassIntensity_Y_channels_split_Filtered,Location_Center_X,Location_Center_Y,Number_Object_Number,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_0_0,RadialDistribution_ZernikeMagnitude_channels_split_Filtered_1_1,RadialDistribution_ZernikePhase_channels_split_Filtered_0_0,RadialDistribution_ZernikePhase_channels_split_Filtered_1_1
1,1,101.53409090909091,9.0530303030303028,100.92885375494072,9.2490118577075098,1,1.5922457627628159e-05,3.8179007463271591e-06,1.5707963267948966,0.68090810510185173
1,2,156.7391304347826,1.4565217391304348,155.13725490196077,3.0,2,2.7526078709200318e-05,1.2096969151699672e-05,1.5707963267948966,-0.95658111694336112
1,3,249.75,2.9375,250.11111111111111,2.8148148148148149,3,1.8084766688170255e-05,1.4737281811381034e-06,1.5707963267948966,-2.8966139904629293
1,4,921.22222222222217,2.0555555555555554,921.0,3.9591836734693877,4,5.605354981154812e-06,2.3057350303081443e-06,1.5707963267948966,-1.4449821893148174
1,5,934.8125,5.979166666666667,932.95774647887322,4.253521126760563,5,1.0315958462970358e-05,5.5076835330790122e-06,1.5707963267948966,0.77660718107295434
1,6,320.85714285714283,5.1428571428571432,320.55102040816325,4.4285714285714288,6,6.5395808113472801e-06,1.1998793922552035e-06,1.5707963267948966,-0.25732371497108869
1,7,17.311797752808989,7.8651685393258424,19.800000000000001,8.1999999999999993,7,5.4322117939591408e-05,1.7584495881835621e-05,1.5707963267948966,-2.8308566607635757
1,8,456.64864864864865,6.4594594594594597,458.13043478260869,6.6086956521739131,8,6.1367805439816871e-06,8.6447123572208721e-07,1.5707963267948966,-2.5758911849336155
1,9,847.25,4.75,846.61290322580646,4.806451612903226,9,1.9689060507282133e-06,5.3389461373296813e-07,1.5707963267948966,-0.19739555984988813
1,10,898.91964285714289,6.25,899.07070707070704,7.8989898989898988,10,1.7262731838707973e-05,4.7229463983065422e-06,1.5707963267948966,-1.6166824620038323
1,11,983.40909090909088,6.1818181818181817,983.5,7.609375,11,1.0490577551536262e-05,3.8720199141167969e-06,1.5707963267948966,-2.0933579470256123
1,12,112.03424657534246,8.7397260273972606,110.97297297297297,7.9729729729729728,12,6.0211275578350636e-05,7.7871227833216723e-06,1.5707963267948966,0.42178725987081694
1,13,138.08000000000001,10.9,138.32173913043479,10.678260869565218,13,6.5016701979481654e-06,1.5299084309194143e-06,1.5707963267948966,2.3228508283425211
1,14,246.16216216216216,7.0810810810810807,246.84615384615384,7.3076923076923075,14,1.3693994006667383e-05,1.7084725561167648e-06,1.5707963267948966,-1.6680495250464624
1,15,629.60000000000002,5.4000000000000004,628.79999999999995,5.5,15,7.6295109465718269e-06,5.3297472167564717e-06,1.5707963267948966,-0.090659887200745082
1,16,146.31578947368422,10.973684210526315,148.61052631578949,11.873684210526315,16,6.1036087572574614e-06,2.1161058833565905e-06,1.5707963267948966,-3.0810606338076862
1,17,339.60869565217394,8.6086956521739122,338.5,8.2972972972972965,17,4.7426689667878921e-06,6.711771271528299e-07,1.5707963267948966,0.78539816339744817
1,18,449.60439560439562,13.17032967032967,451.26612903225805,12.637096774193548,18,2.2396306327033428e-05,4.51485931238069e-06,1.5707963267948966,2.4809535251211705
1,19,152.09090909090909,9.454545454545455,152.71428571428572,8.6666666666666661,19,7.9928209916466762e-06,3.2955027527322382e-06,1.5707963267948966,2.0229501890806776
1,20,320.39583333333331,9.9652777777777786,318.13194444444446,11.229166666666666,20,1.5047091033516659e-05,3.1805373622738285e-06,1.5707963267948966,-0.27416745111965901
1,21,5.7612612612612617,10.243243243243244,4.7454545454545451,10.727272727272727,21,6.1590961095961657e-05,1.9921240361257147e-05,1.5707963267948966,-1.0598145871915252
1,22,238.80165289256198,13.12396694214876,239.90909090909091,14.056818181818182,22,2.0981155103072524e-05,5.5333345323717741e-06,1.5707963267948966,-3.0504515923614655
1,23,75.575000000000003,9.4749999999999996,76.1875,9.6875,23,3.8147554732859135e-05,1.1523466440433801e-05,1.5707963267948966,-2.2513175514621109
1,24,196.66666666666666,10.514619883040936,194.04950495049505,11.900990099009901,24,2.5834581621064997e-05,1.0832093191140089e-05,1.5707963267948966,-0.50821499071666087
1,25,206.52036199095022,16.72398190045249,208.01754385964912,14.508771929824562,25,2.9581086301620591e-05,1.0757585633537401e-05,1.5707963267948966,2.6121376261970277
1,26,278.83734939759034,17.024096385542169,279.22151898734177,16.094936708860761,26,1.6031630596593964e-05,3.3290844313816646e-06,1.5707963267948966,2.7054591369159597
1,27,344.78688524590166,15.275045537340619,345.13131313131311,14.242424242424242,27,8.4618212316523895e-05,1.2618790377110015e-05,1.5707963267948966,2.3467382051841108
1,28,nan,nan,414.19999999999999,9.6666666666666661,28,0.0,0.0,0.0,0.0
1,29,nan,nan,36.294117647058826,9.5294117647058822,29,0.0,0.0,0.0,0.0
1,30,43.75,14.28125,43.048780487804876,13.341463414634147,30,1.1909480501965779e-05,1.9837940296811845e-06,1.5707963267948966,1.8804992713373527
1,31,56.25714285714286,12.114285714285714,57.166666666666664,11.527777777777779,31,1.4411298454635673e-05,5.5160680827750746e-06,1.5707963267948966,2.7981063923513574
1,32,nan,nan,640.60000000000002,10.6,32,0.0,0.0,0.0,0.0
1,33,861.65384615384619,12.384615384615385,861.27777777777783,12.592592592592593,33,7.3469364670691663e-06,1.1418515189544078e-06,1.5707963267948966,-0.17467219900823958
1,34,966.69230769230774,14.076923076923077,966.82758620689651,11.758620689655173,34,3.1570390123745491e-06,1.2594930247756741e-06,1.5707963267948966,2.0464915456498725
1,35,21.847619047619048,17.238095238095237,22.688679245283019,17.462264150943398,35,1.5115068856415883e-05,4.1851366475479867e-06,1.5707963267948966,-2.8013745419451097
